Feature,Importance
V14,0.20988903596989186
V10,0.11742313525729642
V4,0.11441384803738869
V17,0.08731065867050528
V12,0.07255976940857112
V11,0.07179407394417392
V3,0.06885270890005671
V16,0.037364560647807334
V7,0.031199990843478638
V2,0.02535960662212939
V21,0.013852418803901707
V20,0.011698923478717751
scaled_amount,0.01141492094471841
V9,0.010610609714491065
V19,0.010240980834453819
V1,0.010040225857289533
V26,0.009422810918952295
V13,0.009371231077935506
V8,0.008734595535936952
V18,0.008129565970375988
V27,0.00802448228186873
V15,0.007103977821244183
V6,0.00675867286999975
V28,0.006201269940652895
V22,0.0059592210637829735
V5,0.005920147515294126
scaled_time,0.005504119083514699
V23,0.005387663386228275
V25,0.005057114121661616
V24,0.004399660477680555
